pdbId,deg_0,clco_0,clce_0,dce_0,ebc_0,cfcc_0,sgc_0,cpl_0,cs_0,dc2_0,deg_1,clco_1,clce_1,dce_1,ebc_1,cfcc_1,sgc_1,cpl_1,cs_1,dc2_1,deg_2,clco_2,clce_2,dce_2,ebc_2,cfcc_2,sgc_2,cpl_2,cs_2,dc2_2,deg_3,clco_3,clce_3,dce_3,ebc_3,cfcc_3,sgc_3,cpl_3,cs_3,dc2_3,deg_4,clco_4,clce_4,dce_4,ebc_4,cfcc_4,sgc_4,cpl_4,cs_4,dc2_4,deg_5,clco_5,clce_5,dce_5,ebc_5,cfcc_5,sgc_5,cpl_5,cs_5,dc2_5,deg_6,clco_6,clce_6,dce_6,ebc_6,cfcc_6,sgc_6,cpl_6,cs_6,dc2_6,deg_7,clco_7,clce_7,dce_7,ebc_7,cfcc_7,sgc_7,cpl_7,cs_7,dc2_7,deg_8,clco_8,clce_8,dce_8,ebc_8,cfcc_8,sgc_8,cpl_8,cs_8,dc2_8,deg_9,clco_9,clce_9,dce_9,ebc_9,cfcc_9,sgc_9,cpl_9,cs_9,dc2_9,label
1lvw:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.12224298728303892,0.023429024687958842,0.00648174713315678,0.004089181686769341,76.92806160248072,3.6454813112053417,0.0,0.0630410698730452,3.749990625023437,0.16665000166650001,0.16342652563131044,0.0,0.08993862105498542,0.0,281.92345496999263,10.406816448307758,0.0,0.10608113072914126,4.999982142920918,0.32088093100211773,0.0,0.0,0.0,0.0,0.0,0.0,1.149349134447741,0.0,6.537729681387093,0.40335773014315685,0.0,0.0,0.0,0.0,0.0,0.0,1.39930165718665,0.0,7.9999864407009476,0.5003678850495699,0.0,0.0,0.0,0.0,0.0,0.0,1.7531525240141763,0.0,9.399982909121983,0.6235243003546339,0.0,0.0,0.0,0.0,0.0,0.0,2.0949099357161844,0.0,10.99972500687483,0.7199964000179996,0.0,0.0,0.0,0.0,0.0,0.0,2.7177235824207733,0.0,11.998800119988001,0.8111077314955636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972216821017661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1lvw:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.12141743715632909,0.023819603008632808,0.006363335875644983,0.004136884478007591,78.52254068887669,3.576926552163834,0.0,0.06350040325390414,3.6176364187164154,0.19998000199980004,0.16320515924415097,0.0,0.09594958219520888,0.0,322.91310205074814,10.336703284359492,0.0,0.10886748757558809,4.999984848530762,0.3178241730252869,0.0,0.0,0.0,0.0,0.0,0.0,1.133831417013435,0.0,6.54368296729809,0.40552361465159914,0.0,0.0,0.0,0.0,0.0,0.0,1.4029377067870055,0.0,7.999986206920332,0.4988317564969774,0.0,0.0,0.0,0.0,0.0,0.0,1.7427145864416191,0.0,9.421036103445433,0.6236725784269295,0.0,0.0,0.0,0.0,0.0,0.0,2.135809454822541,0.0,10.999633345555148,0.7156044900279652,0.0,0.0,0.0,0.0,0.0,0.0,2.7343635681585856,0.0,11.999400029998501,0.8090872314216757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699951500242499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1lvw:C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.12094274639380763,0.02372545438014019,0.006458571829720226,0.0041168035160185,77.64870880400547,3.5419272392803576,0.0,0.06318554004678549,3.638878780892275,0.0,0.16349712000853786,0.0,0.0814837661971289,0.0,264.1966648474049,10.885250707369154,0.0,0.1073054250948446,4.999985294160899,0.31580953650783883,0.0,0.0,0.14751409610721378,0.0,0.0,0.0,1.1419720725928186,0.0,6.568621011155871,0.4054343413538396,0.0,0.0,0.0,0.0,0.0,0.0,1.4050423520411512,0.0,7.999985714311224,0.49997725973175966,0.0,0.0,0.0,0.0,0.0,0.0,1.7622374634584432,0.0,9.421036103445433,0.6224197704487321,0.0,0.0,0.0,0.0,0.0,0.0,2.116875055076935,0.0,10.99972500687483,0.7149625818108346,0.0,0.0,0.0,0.0,0.0,0.0,2.6869162150643695,0.0,11.998800119988001,0.8086921361211477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9681774173753754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1lvw:D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.12155671620557458,0.023723181799119922,0.006530342070987749,0.0041381311274495325,75.65794441054075,3.5944129588326823,0.0,0.06390500644004124,3.6486387874627364,0.0,0.163506850492403,0.0,0.08519644309275305,0.0,319.2817042941601,10.352250821253214,0.0,0.10824674613824903,4.999984375048827,0.3170612273404397,0.0,0.0,0.1473770624661822,0.0,0.0,0.0,1.1388479021437135,0.0,6.552374712024084,0.40238354373186497,0.0,0.0,0.0,0.0,0.0,0.0,1.4078719234457062,0.0,7.999985964936903,0.5038251578961142,0.0,0.0,0.0,0.0,0.0,0.0,1.74623293669274,0.0,9.39284036992791,0.6246970064934522,0.0,0.0,0.0,0.0,0.0,0.0,2.1141632745464456,0.0,10.998900109989002,0.7157976121753555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.999400029998501,0.8105220498839483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9681774173753754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4fzo:A,0.9999000099990001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.0,0.08412686394575002,0.011497335591414783,0.018788024522157633,117.79669136512221,2.2547804790127755,0.0,0.07723448511630499,3.999920001599968,0.0,0.21111919042742486,0.13065734740276339,0.08357919370874703,0.0,397.23754273622933,0.0,0.0,0.160753393134581,4.999944445061722,0.0,0.2824585951993771,0.0,0.19109417544033536,0.0,0.0,0.0,1.1345396058322337,0.2395461828054447,6.466623555842961,0.38702413623249593,0.0,0.0,0.0,0.0,0.0,0.0,1.3804451618455904,0.3344923842878474,7.999975000078124,0.4942579904705094,0.0,0.0,0.0,0.0,0.0,0.0,1.7296898479982874,0.40239878451179273,9.454459504913592,0.6348416571806272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.999842859387723,0.7190332383828515,0.0,0.0,0.0,0.0,0.0,0.0,2.707458836058371,0.0,0.0,0.8047504083275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399812003759924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4fzo:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.13761690033087284,0.08418712777208971,0.011867653030370698,0.01786752387797047,114.86374125391448,2.392833078593273,0.0,0.08749781255468615,3.857087755889202,0.0,0.20750128793939873,0.12732613114189426,0.0989987873709455,0.0,394.4114440408466,0.0,0.0,0.16102893815018188,4.9999166680555325,0.0,0.26950887268606993,0.0,0.20328066377643594,0.0,0.0,0.0,1.1415884885820573,0.24083253055823153,6.699966500167499,0.3948133619891826,0.0,0.0,0.0,0.0,0.0,0.0,1.382002274194408,0.3416638194681711,7.999971428673469,0.5053828178398033,0.0,0.0,0.0,0.0,0.0,0.0,1.7688589372610601,0.0,9.222119754224954,0.6395817343789973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.999862501718729,0.7197176094763272,0.0,0.0,0.0,0.0,0.0,0.0,2.7023211119220307,0.0,0.0,0.8110975928178976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666505558240696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2e0q:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06478709229769883,0.011804928983841641,0.013056369490219382,63.34188851910042,2.6485310938016493,0.0,0.09081095680133469,3.7856872450911068,0.0,0.2069741979478146,0.0,0.11015707624638973,0.0,0.0,0.0,0.0,0.14670723692376691,4.999954545867765,0.32110468901733075,0.27020677288986256,0.0,0.0,0.0,0.0,0.0,1.1630721012402185,0.2374251223294112,6.390228316516301,0.4004138151118403,0.0,0.0,0.0,0.0,0.0,0.0,1.4195870308621161,0.30768205162392026,7.9999619049433095,0.5006831498529264,0.0,0.0,0.0,0.0,0.0,0.0,1.8212323812996947,0.0,9.176416609314064,0.6220672045034258,0.0,0.0,0.0,0.0,0.0,0.0,2.1446870180316884,0.0,0.0,0.7176118715003327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8027710880187111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749878126523419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3siz:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.0,0.033471561105943744,0.006602865466457712,0.007811543167821759,91.11107480062431,2.709084571858589,0.0,0.07685892466718497,3.6922792901593064,0.0,0.19200267762706935,0.0,0.0,0.0,274.90334365439475,0.0,0.0,0.12729687115483473,4.999968750195311,0.3189709122481511,0.24659958540023688,0.0,0.0,0.0,0.0,0.0,1.1314583252813735,0.0,6.518064436066944,0.40805691325583826,0.0,0.0,0.0,0.0,0.0,0.0,1.391462826651432,0.0,7.999985185212619,0.49817314996686357,0.0,0.0,0.0,0.0,0.0,0.0,1.7394349988588564,0.0,9.326066682463733,0.6244034610642182,0.0,0.0,0.0,0.0,0.0,0.0,2.08914351547914,0.0,10.999816669722172,0.7190433893806224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8097991580441687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666559260452661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3siz:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.0,0.033653220938678056,0.006685171098567961,0.00783243976390042,91.46567485959541,2.8419851032481165,0.0,0.07737890287082022,3.666636111365739,0.0,0.1906950348434266,0.0,0.0,0.0,292.8237853763617,0.0,0.0,0.1265713693931446,4.999968750195311,0.3199913058343652,0.24588013620045598,0.0,0.0,0.0,0.0,0.0,1.1412488774454745,0.0,6.517639391012481,0.4051506148168155,0.0,0.0,0.0,0.0,0.0,0.0,1.3977623145774123,0.0,7.999984313756247,0.4960570586483083,0.0,0.0,0.0,0.0,0.0,0.0,1.7598791389891637,0.0,9.31912910823594,0.6261395685584387,0.0,0.0,0.0,0.0,0.0,0.0,2.0950481781098107,0.0,10.999816669722172,0.7193407422155991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8116626083536251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957129183868802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1nog:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.0,0.0504262313482576,0.008370945228223648,0.011778851576615831,115.03762090687752,2.2776612689941484,0.0,0.08277383697639462,3.666642222385184,0.0,0.20463932088844233,0.0,0.08021848026036824,0.0,311.2615406896532,0.0,0.0,0.14700826856895602,4.999950000499995,0.31745502654320834,0.25914560228927036,0.0,0.0,0.0,0.0,0.0,1.136153506989635,0.2172805211913734,6.574983562541093,0.4197282896121652,0.0,0.0,0.0,0.0,0.0,0.0,1.3765608738990707,0.0,7.999977777839505,0.50160191598871,0.0,0.0,0.0,0.0,0.0,0.0,1.7745859303386409,0.0,9.399976500058749,0.6317130222882412,0.0,0.0,0.0,0.0,0.0,0.0,2.066776865242403,0.0,10.999816669722172,0.7166606944942125,0.0,0.0,0.0,0.0,0.0,0.0,2.6875131387664477,0.0,11.998800119988001,0.8073984363136705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957129183868802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
