pdbId,AAA,AEE,DAL,DEI,DII,DN,EF,FI,FR,GM,HG,HP,II,LRE,LVL,MD,MF,MN,NE,NR,NV,NY,RM,YI,label
1BXT:A,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0
1BXT:B,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0
1D0B:A,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1D9V:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1DBU:A,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1DBX:A,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1DBX:B,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1DKI:A,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
1DKI:B,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
1DKI:C,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
1DKI:D,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
1DLJ:A,0,0,0,0,0,3,1,1,1,1,0,0,8,1,0,0,0,0,3,1,3,3,0,2,0
1E6Y:A,1,0,1,1,0,2,4,1,0,1,0,1,0,0,0,0,0,1,1,0,2,2,0,1,0
1E6Y:B,1,0,0,0,0,0,1,0,1,1,0,0,3,0,0,3,3,1,1,1,4,1,0,0,0
1E6Y:C,1,0,0,0,0,1,0,0,3,0,1,1,1,1,0,1,1,0,0,1,2,0,0,1,0
1E6Y:D,1,0,1,1,0,2,4,1,0,1,0,1,0,0,0,0,0,1,1,0,2,2,0,1,0
1E6Y:E,1,0,0,0,0,0,1,0,1,1,0,0,3,0,0,3,3,1,1,1,4,1,0,0,0
1E6Y:F,1,0,0,0,0,1,0,0,3,0,1,1,1,1,0,1,1,0,0,1,2,0,0,1,0
1ET9:A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0
1EU3:A,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1EU3:B,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1F3E:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1F5Z:A,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F5Z:B,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F5Z:C,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F5Z:D,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F6K:A,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F6K:C,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F74:A,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F74:C,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F7B:A,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1F7B:C,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
1FJ0:A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1FJ0:B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1FJ0:C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1FJ0:D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1FT5:A,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1FT6:A,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1G3K:A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1G3K:B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1G3K:C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1GQY:A,0,1,1,0,0,1,1,2,1,1,2,1,2,0,0,1,0,0,3,0,2,0,0,1,0
1GQY:B,0,1,1,0,0,1,1,2,1,1,2,1,2,0,0,1,0,0,3,0,2,0,0,1,0
1GQZ:A,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,3,1,0,1,0
1H6T:A,0,0,0,0,0,2,1,1,0,0,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0
1H6U:A,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1HH7:A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1HTW:A,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1HTW:B,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1HTW:C,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1I8O:A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1INN:A,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1INN:B,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1IRQ:A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1IRQ:B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1J7G:A,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0
1J8B:A,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1JJW:A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1JJW:B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1JJW:C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1JMV:A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1JMV:B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1JMV:C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1JMV:D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1JNI:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0
1JO0:A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1JO0:B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1JOS:A,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1JOV:A,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0
1K4G:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1K4H:A,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
1L2Q:A,0,0,0,1,1,0,3,1,1,3,0,0,1,0,0,1,0,0,1,0,3,1,1,0,0
1M0S:A,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
1M0S:B,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
1M1P:A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M1P:B,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M1P:C,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M1P:D,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M1P:E,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M1P:F,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M1Q:A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M1R:A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1M5S:A,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1M5S:B,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1M5S:C,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1M5S:D,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1MQV:A,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1MQV:B,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1MRP:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1MTY:B,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0
1MTY:C,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0
1MTY:D,1,0,0,2,0,0,0,3,1,3,1,2,0,0,0,0,0,0,2,2,0,2,2,1,0
1MTY:E,1,0,0,2,0,0,0,3,1,3,1,2,0,0,0,0,0,0,2,2,0,2,2,1,0
1MTY:G,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0
1MTY:H,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0
1MWQ:A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1MWQ:B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
