pdbId,deg_0,clco_0,clce_0,dce_0,ebc_0,cfcc_0,sgc_0,deg_1,clco_1,clce_1,dce_1,ebc_1,cfcc_1,sgc_1,deg_2,clco_2,clce_2,dce_2,ebc_2,cfcc_2,sgc_2,deg_3,clco_3,clce_3,dce_3,ebc_3,cfcc_3,sgc_3,deg_4,clco_4,clce_4,dce_4,ebc_4,cfcc_4,sgc_4,deg_5,clco_5,clce_5,dce_5,ebc_5,cfcc_5,sgc_5,deg_6,clco_6,clce_6,dce_6,ebc_6,cfcc_6,sgc_6,deg_7,clco_7,clce_7,dce_7,ebc_7,cfcc_7,sgc_7,deg_8,clco_8,clce_8,dce_8,ebc_8,cfcc_8,sgc_8,deg_9,clco_9,clce_9,dce_9,ebc_9,cfcc_9,sgc_9,label
1lvw:A,0.0,0.003389830508474576,0.0,0.0,0.0,0.0,0.0,0.006779661016949152,0.0,0.3050847457627119,1.0,0.9970472440944882,1.0,0.9898305084745763,0.13559322033898305,0.003389830508474576,0.6949152542372882,0.0,0.002952755905511811,0.0,0.010169491525423728,0.09491525423728814,0.05423728813559322,0.0,0.0,0.0,0.0,0.0,0.3593220338983051,0.21694915254237288,0.0,0.0,0.0,0.0,0.0,0.2,0.2847457627118644,0.0,0.0,0.0,0.0,0.0,0.1864406779661017,0.2271186440677966,0.0,0.0,0.0,0.0,0.0,0.013559322033898305,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.003389830508474576,0.08135593220338982,0.0,0.0,0.0,0.0,0.0,0.0,0.061016949152542375,0.0,0.0,0.0,0.0,0.0,1
1lvw:B,0.0,0.003424657534246575,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.2773972602739726,1.0,0.9960474308300395,1.0,0.9828767123287672,0.11643835616438356,0.003424657534246575,0.7226027397260274,0.0,0.003952569169960474,0.0,0.017123287671232876,0.11301369863013698,0.04452054794520548,0.0,0.0,0.0,0.0,0.0,0.3527397260273973,0.2054794520547945,0.0,0.0,0.0,0.0,0.0,0.19863013698630136,0.2979452054794521,0.0,0.0,0.0,0.0,0.0,0.1952054794520548,0.23972602739726026,0.0,0.0,0.0,0.0,0.0,0.010273972602739725,0.06164383561643835,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.07534246575342465,0.0,0.0,0.0,0.0,0.0,0.0,0.0684931506849315,0.0,0.0,0.0,0.0,0.0,1
1lvw:C,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.2773972602739726,1.0,0.9970238095238095,1.0,0.9897260273972602,0.1232876712328767,0.0,0.7226027397260274,0.0,0.001984126984126984,0.0,0.010273972602739725,0.11643835616438356,0.04452054794520548,0.0,0.0,0.000992063492063492,0.0,0.0,0.3493150684931507,0.22945205479452055,0.0,0.0,0.0,0.0,0.0,0.1917808219178082,0.2465753424657534,0.0,0.0,0.0,0.0,0.0,0.1952054794520548,0.2465753424657534,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.07191780821917808,0.0,0.0,0.0,0.0,0.0,0.003424657534246575,0.07876712328767123,0.0,0.0,0.0,0.0,0.0,0.0,0.07534246575342465,0.0,0.0,0.0,0.0,0.0,1
1lvw:D,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.29896907216494845,1.0,0.997002997002997,1.0,0.993127147766323,0.12714776632302405,0.0,0.7010309278350515,0.0,0.001998001998001998,0.0,0.006872852233676976,0.10996563573883161,0.048109965635738834,0.0,0.0,0.000999000999000999,0.0,0.0,0.36082474226804123,0.23367697594501718,0.0,0.0,0.0,0.0,0.0,0.1958762886597938,0.26804123711340205,0.0,0.0,0.0,0.0,0.0,0.19243986254295534,0.23024054982817868,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.07560137457044673,0.0,0.0,0.0,0.0,0.0,0.006872852233676976,0.06529209621993128,0.0,0.0,0.0,0.0,0.0,0.0,0.07560137457044673,0.0,0.0,0.0,0.0,0.0,1
4fzo:A,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.8536585365853658,0.9768211920529801,1.0,0.8536585365853658,0.06097560975609756,0.0,0.4146341463414634,0.14634146341463414,0.019867549668874173,0.0,0.14634146341463414,0.10975609756097561,0.0,0.5853658536585366,0.0,0.0033112582781456954,0.0,0.0,0.18292682926829268,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.3902439024390244,0.24390243902439024,0.0,0.0,0.0,0.0,0.0,0.13414634146341464,0.5,0.0,0.0,0.0,0.0,0.0,0.08536585365853659,0.06097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.08536585365853659,0.0,0.0,0.0,0.0,0.0,0.0,0.06097560975609756,0.0,0.0,0.0,0.0,0.0,1
4fzo:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0125,0.7875,0.9661016949152542,1.0,0.85,0.0875,0.0,0.6125,0.2125,0.030508474576271188,0.0,0.15,0.075,0.0,0.375,0.0,0.003389830508474576,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.35,0.2125,0.0,0.0,0.0,0.0,0.0,0.1125,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,1
2e0q:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9884726224783862,1.0,1.0,0.1346153846153846,0.0,0.6442307692307693,0.0,0.011527377521613832,0.0,0.0,0.10576923076923077,0.04807692307692308,0.3557692307692308,0.0,0.0,0.0,0.0,0.3942307692307692,0.20192307692307693,0.0,0.0,0.0,0.0,0.0,0.20192307692307693,0.21153846153846154,0.0,0.0,0.0,0.0,0.0,0.16346153846153846,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1
3siz:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,1.0,1.0,1.0,0.9908675799086758,0.0593607305936073,0.0,0.9863013698630136,0.0,0.0,0.0,0.0091324200913242,0.0730593607305936,0.0319634703196347,0.0136986301369863,0.0,0.0,0.0,0.0,0.3789954337899543,0.2146118721461187,0.0,0.0,0.0,0.0,0.0,0.2465753424657534,0.3378995433789954,0.0,0.0,0.0,0.0,0.0,0.2100456621004566,0.2191780821917808,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0776255707762557,0.0,0.0,0.0,0.0,0.0,0.0,0.0776255707762557,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,1
3siz:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,1.0,1.0,1.0,0.981651376146789,0.05504587155963303,0.0,0.9908256880733946,0.0,0.0,0.0,0.01834862385321101,0.07339449541284404,0.03211009174311927,0.009174311926605505,0.0,0.0,0.0,0.0,0.38990825688073394,0.20642201834862386,0.0,0.0,0.0,0.0,0.0,0.23394495412844038,0.3440366972477064,0.0,0.0,0.0,0.0,0.0,0.21559633027522937,0.22018348623853212,0.0,0.0,0.0,0.0,0.0,0.027522935779816515,0.07339449541284404,0.0,0.0,0.0,0.0,0.0,0.0,0.09174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.03211009174311927,0.0,0.0,0.0,0.0,0.0,1
1nog:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006711409395973154,0.0,0.0,1.0,0.9982014388489209,1.0,0.912751677852349,0.10067114093959731,0.0,0.7919463087248322,0.0,0.0017985611510791368,0.0,0.087248322147651,0.06711409395973154,0.040268456375838924,0.2080536912751678,0.0,0.0,0.0,0.0,0.2684563758389262,0.1610738255033557,0.0,0.0,0.0,0.0,0.0,0.24161073825503357,0.2751677852348993,0.0,0.0,0.0,0.0,0.0,0.2684563758389262,0.33557046979865773,0.0,0.0,0.0,0.0,0.0,0.040268456375838924,0.08053691275167785,0.0,0.0,0.0,0.0,0.0,0.006711409395973154,0.06040268456375839,0.0,0.0,0.0,0.0,0.0,0.0,0.04697986577181208,0.0,0.0,0.0,0.0,0.0,1
