pdbId,AAA,AEE,DAL,DEI,DII,DN,EF,FI,FR,GM,HG,HP,II,LRE,LVL,MD,MF,MN,NE,NR,NV,NY,RM,YI,label,deg_0,clco_0,clce_0,dce_0,ebc_0,cfcc_0,sgc_0,deg_1,clco_1,clce_1,dce_1,ebc_1,cfcc_1,sgc_1,deg_2,clco_2,clce_2,dce_2,ebc_2,cfcc_2,sgc_2,deg_3,clco_3,clce_3,dce_3,ebc_3,cfcc_3,sgc_3,deg_4,clco_4,clce_4,dce_4,ebc_4,cfcc_4,sgc_4,deg_5,clco_5,clce_5,dce_5,ebc_5,cfcc_5,sgc_5,deg_6,clco_6,clce_6,dce_6,ebc_6,cfcc_6,sgc_6,deg_7,clco_7,clce_7,dce_7,ebc_7,cfcc_7,sgc_7,deg_8,clco_8,clce_8,dce_8,ebc_8,cfcc_8,sgc_8,deg_9,clco_9,clce_9,dce_9,ebc_9,cfcc_9,sgc_9
3VCX:B,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.075,1.0,0.96640826873385,1.0,1.0,0.15,0.0,0.925,0.0,0.01808785529715761,0.0,0.0,0.16666666666666666,0.04166666666666666,0.0,0.0,0.00516795865633075,0.0,0.0,0.325,0.26666666666666666,0.0,0.0,0.00516795865633075,0.0,0.0,0.14166666666666666,0.175,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.25833333333333336,0.0,0.0,0.002583979328165375,0.0,0.0,0.025,0.1,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05833333333333333,0.0,0.0,0.0,0.0,0.0
1MXI:A,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01910828025477707,0.0,0.01910828025477707,1.0,0.9979879275653925,1.0,1.0,0.21019108280254767,0.012738853503184714,0.961783439490446,0.0,0.002012072434607646,0.0,0.0,0.1337579617834395,0.03821656050955414,0.01910828025477707,0.0,0.0,0.0,0.0,0.29936305732484075,0.21019108280254767,0.0,0.0,0.0,0.0,0.0,0.17197452229299362,0.22929936305732485,0.0,0.0,0.0,0.0,0.0,0.1464968152866242,0.267515923566879,0.0,0.0,0.0,0.0,0.0,0.01910828025477707,0.05732484076433121,0.0,0.0,0.0,0.0,0.0,0.0,0.10828025477707008,0.0,0.0,0.0,0.0,0.0,0.0,0.07643312101910828,0.0,0.0,0.0,0.0,0.0
2OMW:B,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.009523809523809523,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.9809523809523808,0.9785276073619632,1.0,1.0,0.1619047619047619,0.0,0.7714285714285715,0.01904761904761905,0.02147239263803681,0.0,0.0,0.1619047619047619,0.09523809523809523,0.2285714285714285,0.0,0.0,0.0,0.0,0.4380952380952381,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.11428571428571427,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0761904761904762,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.009523809523809523,0.0761904761904762,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.057142857142857134,0.0,0.0,0.0,0.0,0.0,0.0,0.057142857142857134,0.0,0.0,0.0,0.0,0.0
3MHF:C,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0.0,0.006153846153846154,0.0,0.0,0.0,0.0,0.0,0.018461538461538463,0.0,0.16,1.0,1.0,1.0,0.9846153846153848,0.1046153846153846,0.006153846153846154,0.84,0.0,0.0,0.0,0.015384615384615384,0.11076923076923076,0.061538461538461535,0.0,0.0,0.0,0.0,0.0,0.27384615384615385,0.2523076923076923,0.0,0.0,0.0,0.0,0.0,0.23384615384615384,0.2461538461538461,0.0,0.0,0.0,0.0,0.0,0.22153846153846155,0.26153846153846155,0.0,0.0,0.0,0.0,0.0,0.02769230769230769,0.061538461538461535,0.0,0.0,0.0,0.0,0.0,0.009230769230769232,0.04923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.05538461538461538,0.0,0.0,0.0,0.0,0.0
3I83:B,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0.003484320557491289,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4076655052264808,1.0,0.9900398406374502,1.0,0.989547038327526,0.12195121951219512,0.003484320557491289,0.5923344947735192,0.0,0.0059760956175298795,0.0,0.010452961672473868,0.11149825783972124,0.020905923344947737,0.0,0.0,0.0029880478087649398,0.0,0.0,0.3170731707317073,0.20905923344947736,0.0,0.0,0.0,0.0,0.0,0.2195121951219512,0.24738675958188155,0.0,0.0,0.00099601593625498,0.0,0.0,0.1951219512195122,0.30313588850174217,0.0,0.0,0.0,0.0,0.0,0.027874564459930317,0.09059233449477352,0.0,0.0,0.0,0.0,0.0,0.003484320557491289,0.04529616724738676,0.0,0.0,0.0,0.0,0.0,0.0,0.07665505226480836,0.0,0.0,0.0,0.0,0.0
5HJX:B,0,0,1,0,0,2,3,4,0,3,1,0,2,0,0,1,0,2,0,1,2,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006593406593406593,0.0,0.6945054945054945,1.0,0.9975093399750934,1.0,0.967032967032967,0.08791208791208792,0.0021978021978021982,0.3054945054945055,0.0,0.0024906600249066,0.0,0.03296703296703297,0.13846153846153847,0.04835164835164835,0.0,0.0,0.0,0.0,0.0,0.3296703296703297,0.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.2,0.2879120879120879,0.0,0.0,0.0,0.0,0.0,0.2,0.2329670329670329,0.0,0.0,0.0,0.0,0.0,0.028571428571428567,0.08131868131868132,0.0,0.0,0.0,0.0,0.0,0.008791208791208791,0.07032967032967033,0.0,0.0,0.0,0.0,0.0,0.0,0.04615384615384616,0.0,0.0,0.0,0.0,0.0
3PNZ:F,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003048780487804878,0.0,0.12195121951219512,1.0,1.0,1.0,0.9817073170731708,0.03658536585365853,0.0,0.8780487804878049,0.0,0.0,0.0,0.018292682926829267,0.07621951219512195,0.03963414634146342,0.0,0.0,0.0,0.0,0.0,0.36890243902439024,0.2378048780487805,0.0,0.0,0.0,0.0,0.0,0.24085365853658536,0.32926829268292684,0.0,0.0,0.0,0.0,0.0,0.2469512195121951,0.19207317073170727,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.09146341463414634,0.0,0.0,0.0,0.0,0.0,0.003048780487804878,0.0701219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.03963414634146342,0.0,0.0,0.0,0.0,0.0
5USW:D,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0.003703703703703704,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.011111111111111113,0.0,0.07037037037037037,1.0,0.9978401727861772,1.0,0.9962962962962963,0.1111111111111111,0.011111111111111113,0.9296296296296296,0.0,0.0021598272138228947,0.0,0.003703703703703704,0.0962962962962963,0.04074074074074074,0.0,0.0,0.0,0.0,0.0,0.3703703703703704,0.2,0.0,0.0,0.0,0.0,0.0,0.2111111111111111,0.24444444444444444,0.0,0.0,0.0,0.0,0.0,0.15925925925925927,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0.1074074074074074,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.04444444444444445,0.0,0.0,0.0,0.0,0.0
4EAE:B,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340424,0.0,0.09042553191489362,1.0,0.9849498327759196,1.0,1.0,0.15425531914893614,0.0,0.9042553191489362,0.0,0.015050167224080268,0.0,0.0,0.16489361702127658,0.058510638297872335,0.005319148936170214,0.0,0.0,0.0,0.0,0.398936170212766,0.3031914893617021,0.0,0.0,0.0,0.0,0.0,0.1595744680851064,0.3138297872340425,0.0,0.0,0.0,0.0,0.0,0.10106382978723404,0.18617021276595744,0.0,0.0,0.0,0.0,0.0,0.010638297872340424,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.03723404255319149,0.0,0.0,0.0,0.0,0.0,0.0,0.04787234042553192,0.0,0.0,0.0,0.0,0.0
5HWN:B,1,0,0,1,0,1,2,0,0,2,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0.0032258064516129032,0.00967741935483871,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.2258064516129032,1.0,0.9972222222222222,1.0,1.0,0.0935483870967742,0.0,0.7741935483870968,0.0,0.0027777777777777783,0.0,0.0,0.1,0.07096774193548387,0.0,0.0,0.0,0.0,0.0,0.3258064516129032,0.1967741935483871,0.0,0.0,0.0,0.0,0.0,0.23870967741935484,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.20967741935483872,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.07741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.07096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.04193548387096775,0.0,0.0,0.0,0.0,0.0
